Team No,Year,Segmented Text
1,2022,"We did a DoS attack on original network and created a fake hotspot with the same SSID and the password so that the robot can connect to our network other than the original network. And then we connected another laptop with the robot and tried to access the SSH and we figured out the IP address of the original node, ROS node, roscore and then we did a physical attack."
1,2022,We took the SD card and plugged it into the laptop and we changed the configuration file of the SSH. We disabled the password and checking the configuration file so that we can do SSH without checking over the IP and password.
1,2022,But the time was up so we couldn't continue with this.
1,2022,"And the last thing we did, it's not really an attack."
1,2022,"Once I realized that we are using different networks, I thought that one of the other teams may run those attack over our network and disconnect the robot at the end of the competition so that if the robot is disconnected from any network we cannot reach it anymore."
1,2022,"So I created like 20 fake networks with the same name of our team so that if anything wanted to run as a takeover over our network, the team can actually know which one is the real one."
1,2022,And it takes so much time to actually not the only reason why I did it.
1,2022,I also did it for the creativity point and exercise one of the judges and he told me like to present it.
2,2022,"The thrust towards industry and construction 4.0 has ushered in the penetration of robotic systems, improving production efficiency while maintaining high-quality standards."
2,2022,"Robotic systems are sophisticated and heterogeneous architectures incorporating many diverse sensors, actuating systems, hardware and software components, applications, interfaces, etc."
2,2022,"For this competition, we will only focus on attacks that could compromise the operation of a robot performing monitoring tasks within a construction facility."
2,2022,"In more detail, the data that we are concerned about can be divided into three categories: i) data-in-transit, ii) data-at-rest, and iii) data-in-use. The security risks and the impacts of attacks targeting each data subcategory as well as the methodologies that need to be applied to ensure that the data have not been altered are different. Attackers could compromise data during their collection stage, i.e., data-in-use."
2,2022,"These data can be information collected from robot sensors. By spoofing these sensors, the situational awareness of the robot can be compromised."
2,2022,"Attacks against lidar, gyroscopes, and accelerometers have been reported."
2,2022,"Modifying the sensor readings can affect its movement, or make the robot operate uncontrollably."
2,2022,Attacks against camera systems and machine learning-based algorithms have also been reported.
2,2022,"Some examples include blinding attacks, which have been shown to have catastrophic impacts on autonomous vehicles. Similarly for our robot, such attacks could either affect its awareness of potential obstacles or hide objects impairing its monitoring objective."
2,2022,Data-in-transit could be another attack entry point.
2,2022,As indicated in Fig.
2,2022, the device has network capabilities.
2,2022,"Attacks such as communication jamming and spoofing, replay, man-in-the-middle, and DoS could compromise the objectives of our system by altering or limiting the availability of the data-in-transit to their intended receiving ends."
2,2022,"Furthermore, the lack of authentication, authorizations, and attestation schemes could allow adversaries to gain access, modify control commands, or even send malicious commands  Ò in the case of insecure/unencrypted communication protocols - to the agent itself, jeopardizing not only the robot's operation, but the entire construction infrastructure."
2,2022,Data-at-rest could also become a security vulnerability for our system.
2,2022,Data could be located on the robot itself and on the external computer and the HMI.
2,2022,"Modifying, encrypting, or deleting such data could have significant impacts on the facility's operation."
2,2022,"Such attacks include ransomware, trojan, wiper, and rootkit attacks. Attackers could exploit lack of secure storage modules, redundancy schemes, integrity checks, secure firmware updates and boot partitions, stack/heap-based buffer overflows, non-executable memory, and in general host-based defenses and weaponize the robotic agent."
2,2022,"The description of the robotic system provided in the challenge consists of multiple and interconnected levels. At the lowest level of the robot stack, we have its physical components."
2,2022,"An attacker with physical access to the device could impair the navigation, localization, and monitoring objectives of the robotic system by directly attacking it."
2,2022,"For instance, the firmware used for the coordination of the controllers could be flashed, modified, or erased. In the case of firmware modification attacks, the adversaries could stealthily hide their attacks and perform anomalous operations sparingly. Especially in the case of process-aware attacks carefully planting minor modifications can maximize the attack impact while the robotic agent might be operating in an indistinguishable-from-normal fashion."
2,2022,Levels 1 through 4 of the robotic stack encapsulate its core computational and communication infrastructure.
2,2022,"As a result, attacks can be classified into two categories, i) attacks targeting the embedded device itself and ii) attacks aimed at the communicated information."
2,2022,"For the first category, different types of vulnerabilities potentially existing in the RPi 4 device and the operating system running on TurtleBot3 could be exploited."
2,2022,"For instance, heap- or stack-based buffer overflow attacks can compromise the agent allowing random command execution and privilege escalation."
2,2022,"Unencrypted storage media could be compromised and critical information, such as alarms and control limits can be overridden. If authentication and authorization policies are not enforced and users can perform commands, using admin privileges, attackers might be able to erase critical memory partitions handling the interaction with external sensors, its imaging capabilities (e.g., erase camera drivers), or impair its network processes (e.g., network drivers)."
2,2022,"Such destructive attacks could render the robot uncontrollable or unreachable (DoS). Lack of secure boot and/or secure firmware updates could allow the deployment of counterfeit software on the robotic agent allowing attacker persistence (e.g., advanced persistent threats) or the installation of backdoors enabling remote privileged access to the device by unauthorized users."
2,2022,The second category includes the attack classes that can be carried out over the communication channels.
2,2022,"Man-in-the-middle attacks could be performed to intercept, scan/sniff packets to obtain information and/or modify their content, especially if encryption and authentication mechanisms are not enforced."
2,2022,"Wireless jamming and DoS attacks could also be performed by flooding the communication medium, i.e., wireless channels."
2,2022,In the case of mission critical systems delays might not be allowed due to real-time operational constraints.
2,2022,"Furthermore, in the case of manual control of the robot, packet spoofing attacks could be implemented to misguide the robot or maliciously control it."
2,2022,"The manipulation of the robot can be either performed using wired media or via remote access to it. To reprogram the robotic agent via a wired connection, we first need to determine the environment where the robot is operating."
2,2022,"If the robot operates in a supervised environment, then the attacker will require physical access to it. Connecting external wired devices to an operational robot could raise suspicion and result in the easy detection of a potential compromise. However, if the robot is not monitored an attacker with physical access to it, i.e., insider threat, could tamper with its firmware maliciously impacting the robot's control objectives (e.g., autonomous operation) and its overall performance."
2,2022,"As a result, both the process automation environment as well as the personnel safety could be jeopardized."
2,2022,"Remote manipulation, in turn, can be divided into, i) manipulation of the robot itself, or ii) indirect manipulation of the robot by restricting the CPS environment in which the robot operates. The robot system is designed to interact with an external computer, via a router, which can send control commands to the robot, meaning that if the external computer gets compromised, attackers can send malicious commands affecting the robot's state. If these commands are executed without any authentication and authorization of the party that issues them the robot could be instructed to perform malicious tasks."
2,2022,"On the other hand, the router as a connection medium can also be another attack entry point. If an attacker gain control of the router, she/he could modify the data received and sent over the router, with potentially serious consequences."
2,2022,"For example, the robot operates in an industrial environment where receiving real-time and accurate information about its surroundings is crucial. Compromising the accuracy of the sensed information or even the timely delivery of sensor updates could have destructive implications on the robot operation. If the sensors on the robotic agents are not well coordinated, an attacker would be able to target just one of them and affect the operation of the entire robot. For example, an attacker could place mirrors in the industrial environment rendering the LIDAR or camera-based navigation features of the robot unusable. Similarly, by compromising the robot's gyroscope, IMU or other sensors we could severely inhibit its localization accuracy and sabotage its autonomous operation. Finally, combined attacks could disrupt the robot's operational state (by targeting its sensors) and at the same time sending false control commands over the compromised router. Although such attacks require that the adversary has infiltrated both the physical and the cyber perimeter of the industrial environment, their impacts could be devastating."
2,2022,It will be our objective as ethical hackers and cybersecurity researchers to first identify such vulnerabilities and then safeguard the robotic agent against adversarial attacks.
2,2022,"Once physical access to the robot is attained, the attacker could modify the robot's control logic. However, to successfully plant such control logic modification attacks the adversary needs to directly contact the robot, and then modify the robotic agent's logic in such a way that will not make the robot inoperative. Therefore, to defend against such types of attacks we first need to eliminate the access of unauthorized personnel to the robot, and second to prohibit firmware modifications unless security policies and protocols are followed."
2,2022,"Further, we can use camera surveillance, or equip it with a GPS transmitter while using geo-location/fencing policies."
2,2022,"If the robot deviates from the predefined construction site areas, alerts can be issued to the system operators. Physical security countermeasures can also be enforced limiting the access to the robot to only authorized personnel and increasing the difficulty for attackers to achieve persistence within the CPS environment. Another security countermeasure could be to make the firmware immutable after the robot has been deployed and disabling over-the-air updates. Secure firmware updates could be allowed under closely monitored and regulated circumstances."
2,2022,"Furthermore, any debugging interfaces on the robot itself should be disabled ensuring that no information about the operational semantics can be leaked."
2,2022,"Host-based defense mechanisms such as firmware encryption, obfuscation and signing could also be enforced to deter adversaries even if they can manage to get access to the device's firmware."
2,2022,"The most vulnerable component of this framework is the router, used to connect the robot master computer to the external network."
2,2022,"The router uses Wi-Fi, which widens the threat surface of our setup. Many successful attack methodologies against Wi-Fi communications have been reported."
2,2022,"Granted that the robot is equipped with an encryption chip, SSL transmission can be realized, that is, all data packets are encrypted and can resist replay attacks."
2,2022,"Even though, replay attacks can be avoided, attackers could use jamming attacks to block Wi-Fi signals (DoS attacks), fake or redirect in-transit data, or decrypt and analyze captured packets to exfiltrate sensitive information or craft malicious payloads."
2,2022,"A potential improvement could be to abandon the use of Wi-Fi and use another non-TCP/IP protocol, such as ZigBee or Bluetooth."
2,2022,"By changing Wi-Fi to other wireless protocols, and using an additional protocol conversion gateway, external hosts connect to the robot through the gateway."
2,2022,"As a result, another level of security is added to deter attackers. To defend against external attackers, traditional network security countermeasures can be used. Such defenses include, subnet isolation, deployment of firewalls, DMZ, IDS/IPS, etc."
2,2022,The robot will be used in mission-critical industrial environments such as construction.
2,2022,"Malware attacks have been gaining popularity, especially in such CPS environments due to their acute consequences on the undelaying infrastructures. In more detail, malware can disrupt processes resulting in asset damage or financial losses."
2,2022,"Furthermore, these processes are occurring in real-time, so their effects can be immediate, endangering both the operations and the safety of the involved personnel."
2,2022,"As cybersecurity researchers, we are naturally curious and motivated to understand the effects of compromising any of the layers of the robotic stack depicted in Fig."
2,2022, as well as their impacts on the environment.
2,2022,Unveiling these effects could help us identify the best attack scenarios from the attacker's perspective.
2,2022,Then we can optimally allocate security resources and prioritize them to mitigate the most serious attacks.
2,2022,"By identifying vulnerabilities within the code, the team can put into practice their critical thinking and creativity."
2,2022,"For example, attackers could try to reduce the movement speed of the robot, delay important processes, or alter the robot's control logic to permanently damage its actuators."
2,2022,"Therefore, detection can be implemented with a supplemental layer of security, on the host device, via segregating the critical components and processes or providing redundancy to them. Furthermore, host-based defenses can help in recognizing stealthy attacks that can affect components such as the wheels, camera sensors, or motors."
2,2022,"As a result, effective detection strategies can be devised, to notify the robot of anomalies and initiate corrective actions to prevent or minimize damages. Such strategies could leverage feedback systems that inform both the robot and operators of such anomalies."
2,2022,Another motivation is understanding the diverse effects of the different types of attacks and what is the most disruptive attack with minimal effort from the attacker's side.
2,2022,"Given the interoperable robotic architecture that we will be dealing with, each attack type might require different detection techniques and penetration procedures."
2,2022,"For instance, it is important for an attacker to know which is easier: reaching the levels remotely via the Wi-Fi router and changing the settings of the components, e.g., actuator thresholds, or directly attacking the sensors."
2,2022,The existing detection techniques' efficacy would be monitored for each attack on the robot such as alarm triggering or stopping the current process when a certain threshold is detected.
2,2022,"The biggest incentive, however, is the sense of achievement in finding diverse pathways to ethically disrupt critical tasks and then protect industrial processes."
2,2022,"If an attack on a component such as a gyroscope or an accelerometer can cause irreversible damage, it is beneficial to compromise them in a research environment and propose creative solutions to mitigate such vulnerabilities."
2,2022,"Introduction: In recent years, robots are ubiquitous in construction, industrial systems, automation, health systems, etc. Robotic agents are a crucial part of mission-critical cyber-physical systems."
2,2022,Turtlebot 3 is a Raspberry Pi-based robot that uses the ROS platform for the coordination of its movement and other auxiliary tasks.
2,2022,"The interoperable robotic architectures increase the attack surface (e.g., sensors, actuators, applications)."
2,2022,Our team demonstrates how different attacks types can compromise TurtlebotÕs operation.
2,2022,"Compromising Availability: ARP Poisoning Attack: Send forged ARP packets, deceive communication endpoints, become Man-in-the-Middle, intercept, forward, and modify certain packets/commands, flood the communication channel between robot and user/server, tools: Kali Linux, airmon-ng. De-authentication Attack: Flood communication channel, Force the de-authentication of the host (robot), Capture control packets attempting the re-authentication, Inspect packets and identify critical sections (e.g., wi-fi passwords), Tools: Kali Linux, airmon-ng, Adversarial access: Remote access to network, Impact: Denial-of-Service. Taking Control: Packet Modification Attack: Successful ARP spoofing attack, Capture control packets, Modify packet contents, i.e., robot linear/angular velocity, Forward maliciously crafted packets to target, Tools: Arpspoof, Scapy, Wireshark, iptables, nfqueue, Adversarial access: Remote access to network, Impact: Loss of controllability, Denial-of-Service."
2,2022,"Becoming Stealthy: Backdoor Attack: Access the SD card and change the boot process, Attain root password and gain root privileges, Plant backdoor on robot using Metasploit, Automatically start a reverse shell on system reboot, Attain persistenceand forward communication to malicious user, Full remote control of the robotic agent, Tools: Kali Metasploit framework, meterpreter, frp, Adversarial access: One-timephysical access, Impact: Remote access and control of the robot."
2,2022,Conclusions: Vulnerabilities can exist in any of the underlying robotic architectural levels. We present how robotic missions can be compromised via different threat vectors. Secure-by-design schemes are paramount for robots in untrustworthy environments.
2,2022,We are team Sentry.
2,2022,I'm Ioannis Zografopoulos and we come from KAUST.
2,2022,Some introductions about the computer node that we were working on.
2,2022,"As the previous people said, it's an open software, open hardware robot."
2,2022,"Robots are important for the industrial automation, for industrial systems in general."
2,2022,"But the issue that they face is that since they weren't built with security in mind, and since they have many sensors, actuators and different applications running on them, they also have a big threat surface, and with this competition we're able to work on it, crack it, hack it, and have fun."
2,2022,So it's a win win for us.
2,2022,"So about the attacks, we will present the attacks that we did in our lab first, and then the ones that we're able to demo here. So for the attacks that we are going to be presenting, we have categorized them in an increasing threat model level. And by threat model I mean what are the security assumptions and what we need to have in our possession in order to perform our attacks."
2,2022,"So starting from the first two type of attacks that were aiming to compromise the availability and cause a denial of service, first we have the deauthentication attack."
2,2022,"So essentially for this attack we don't need any requirement as long as we can somehow be able to share the network being used between the master server, the operator and the actual robot. For this attack, we just flood the communication channel between the robot and it is unreachable, so it cannot be controlled anymore."
2,2022,One step above this attack is the ARP poisoning attack.
2,2022,"So in that case we need to be on the same network, and we also need to know the password and the SSID of this network."
2,2022,"And using this ARP poisoning attack, we can become a man in the middle and essentially deceiving the endpoints and also receiving and forwarding packages from the master server to the actual robot, and also modifying parts of the packages, which we will talk about more in the taking control. So for the taking control attack, as I said earlier, we need to be in the same network as the robot, and we also need to have the SSID."
2,2022,We also need to be the man in the middle.
2,2022,So we are receiving packages with commands or different deliberation signals sent from the master server. We did the command inspection of those packages that we were capturing.
2,2022,"We found which parts of those packets included details about the linear velocity, for example, and the angular velocity."
2,2022,"And by modifying those certain properties of the packages, we were able to change the trajectory that the robot was going to follow. So this was the attack in order to compromise the robot."
2,2022,And then we increased a little bit the strength of our threat model.
2,2022,So we assume that we have a one time physical access on the robot.
2,2022,"And although this might seem a little bit, no, it's not tricky, it might seem that it's a big assumption."
2,2022,"We only need like five minutes with the robot, because essentially what we want to do is take its sd card, plug it on another pc, change the configuration file, find the root password of the node, and from that point on, we don't need access to the robot anymore."
2,2022,So it's not satisfied from that model.
2,2022,"But having all those information gives you a lot of options, because from that point on, we planted a malware on the actual robot, and this malware allowed, gave us a backdoor which was being reset every time that the robot is reboot. Also gave us a reverse cell, because sometimes you might have all those information, but in order to access the robot, you need to go through a firewall, and the firewall will not allow that."
2,2022,"But having a reverse cell means that every time that the node is rebooted, it opens a communication channel back to us."
2,2022,And from that point on we have full control without having to overcome a firewall or an industrial firewall if it is inside an industrial location.
2,2022,"And yes, having the root access on this robot node, you can do everything."
2,2022,"You can change its firmware, you can take images, you can upload images, you can modify them, you can append images and append malware at the end of images."
2,2022,"I mean, you are in God mode essentially."
2,2022,"And yes, this concludes our presentation."
2,2022,"So these were the three types of attacks that we implemented, the easier ones with a lower threat model, which is compromising the availability, the packet inspection modification that you need to be in the same network, and then finally the becoming stealthy one where we attain persistence."
2,2022,"And from that point on, we can fully control the node."
2,2022,"As for today, sadly, we had to deal with some technical issues, as most of the teams had."
2,2022,"So the only points that we were able to do is from the first section, we were able to find the Wi-Fi password after we were being given the list of the available passwords."
2,2022,"We were also able to perform the DOS attack using the ARP spoof framework, and we were also able to change section number four, to change the predefined path, because we're able to perform this attack, we didn't exactly were able to move the robot exactly where we want, but at least it wasn't moving."
2,2022,So we partially did that.
2,2022,That concludes our presentation.
3,2022,"This attack would be with the intent to eavesdrop information:  Normally, subscribers can register at the Master by calling the XMLRPC procedure registerSubscriber, and depending on the response parameters, the subscriber will be able to contact the right publisher for each requested topic."
3,2022,The subscriber will be able to establish a channel for receiving published topic messages after the publisher returns the selected protocol along with any additional parameters required for establishing a connection.
3,2022,"Firstly, we want to obtain the ROS Master URI: After breaching the Master Network security (for instance, one idea is by performing a DDoS attack at the network level by sending packets which can overwhelm a server), we will perform an Address Resolution Protocol (ARP) scan to identify the network hosts. Then,we can find the Master by trying the ROS default port on each host until the master is found and we can use the XMLRPC API to reconstruct the ROS graph that shows the connections between nodes. Now we are able to call the XMLRPC procedure getSystemState at the Master and the master will return information about the registered publishers, subscribers and services."
3,2022,"In order to compromise the operation, this attack will be with the intent to publish faked messages into one of ROS's running applications:  In the first attack where we were able to intercept the collected data about the registered publishers, subscribers and services."
3,2022,"Therefore, we can easily extract the name of the subscriber which we want to publish the faked messages to and send an XMLRPC message, lookupNode, with the name of the node as parameter, to the master. The master will return the URI of the subscriber, and with this in our possession, we will be able to send the XMLRPC message publisherUpdate to the subscriber with the topic and a list of new publishers to the topic as parameters."
3,2022,"And so, the name of the topic is known from the information about the subscribers and the list of the new publishers contains the fake publisher that is created by us. The original publisher would still be active but it's data will not reach the subscribers anymore."
3,2022,"The XMLRPC API of ROS: if it doesn't have some form of authentication or authorization, hackers such as ourselves, can use the calls to the master to retrieve the ROS graph and intercept the communication parameters for each node as well as topic information."
3,2022,Subscriber authentication: a subscriber does not check if the publisherUpdate procedure is called by a valid client.
3,2022,Subscribers not updating the master: a subscriber does not inform the master if a set of publishers has changed.
3,2022,"Changing the network port of the ROS master; this would provide an obstacle for hackers because, in order to find the master, they would have to run a port scan on a broad port range in the network, which can be detected by security systems."
3,2022,Secure the XMLRPC API of ROS with authentication and authorization. A possible way is to set up an authentication server which keeps track of which ROS node subscribes or publishes to a certain topic.
3,2022,A subscriber should check that the host that is calling is the host of the ROS Master.
3,2022,A subscriber should inform the Master as to when a set of publishers has changed.
3,2022,"Considering the characteristics installed in the robot such as LiDAR, gyroscope, accelerometer, and magnetometer, we assume that it may be used in the industry of  carrying out hazard assessments and processing safety installations for instance."
3,2022,"An attacker who is aiming to compromise the robotic system may want to damage the reputation of a company to kick a fellow competitor off the market, for political reasons or maybe just a personal vendetta against the owner of a company."
3,2022,"So an attacker might inject false safety readings in disregard of the real sensor readings such, as the LiDAR or the accelerometer, in order to cause damage to nearby property or people."
3,2022,"Thus, the company will be known to have irreliable safety detection systems and might be shut down or go bankrupt, thus achieving the hacker's goal."
3,2022,Dissecting the TurtleBot: Assembling the robot was one of the most interesting and yet crucial  stages of this competition as it helped us to understand how the robot  would function when we were running it. We assembled the TurtleBot3 by  following the instructions provided in the e-manual as well as the manual  provided with the robot.
3,2022,"The challenges that we faced during this stage  were minimal, so this was one of the easiest stages for us."
3,2022,Hacking the Robot pt.
3,2022," In this stage, we focused on collecting more concrete ideas and methods to  formulate our plans that we mentioned in the initial stage of the competition."
3,2022,"Our  initial plan included breaching the Master Network security by performing a  DDoS attack at the network level by sending packets which can overwhelm a  server, and then scan to identify the network hosts."
3,2022,"After that, we planned to find  the Master by trying the ROS default port on each host until the master is found."
3,2022,"We then would call the XMLRPC procedure getSystemState at the Master and  the Master will return information about the registered publishers, subscribers  and services."
3,2022,"PC, SBC, OpenCR Setup: After assembling the robot, we focused on setting up the PC, SBC, and  OpenCR, to have the robot fully functional."
3,2022,"Some of the tasks we did as  part of this stage were installing Ubuntu, installing and setting up ROS,  Network Configuration, burning the image, configuring the Raspberry Pi,  etc."
3,2022,The most interesting step was launching the slam node and establishing  the connection between the TurtleBot and the remote PC. We then  explored the RVIZ platform which allowed us to visualize the TurtleBots  movement.
